Latitude,Longitude,Elevation,Bearing
12.873093,79.738172,76.0,-92.0479
12.872837,79.73365,76.0,-93.323
12.872749,79.732009,75.0,-93.1484
12.872445,79.729902,76.0,-98.4185
12.87197,79.727152,78.0,-100.0471
12.871369,79.723931,81.0,-100.8349
12.871058,79.722228,79.0,-100.6098
12.870911,79.7209,79.0,-96.4778
12.87079,79.71907,81.0,-93.8799
12.870892,79.717327,83.0,-86.5646
12.871037,79.716361,84.0,-81.2467
12.871205,79.715161,83.0,-81.8276
12.871266,79.713941,83.0,-87.0638
12.871099,79.710689,83.0,-93.015
12.871031,79.70928,84.0,-92.834
12.871253,79.708228,85.0,-77.7858
12.871846,79.706822,83.0,-66.6048
12.872363,79.705352,86.0,-70.1621
12.872596,79.704356,84.0,-76.506
12.872899,79.702938,85.0,-77.6367
12.87305,79.70201,85.0,-80.524
12.873163,79.699713,86.0,-87.1109
12.873262,79.698594,86.0,-84.8143
12.873627,79.695987,86.0,-81.8269
12.8738,79.694923,88.0,-80.5309
12.873999,79.693389,90.0,-82.4199
12.874113,79.690948,92.0,-87.257
12.8743,79.686332,90.0,-87.6199
12.874366,79.685301,89.0,-86.2429
12.874449,79.68332,90.0,-87.5388
12.874472,79.681588,91.0,-89.2194
12.874447,79.680581,91.0,-91.4587
12.874376,79.678819,90.0,-92.3667
12.874153,79.673691,92.0,-92.5536
12.873801,79.671186,94.0,-98.202
12.873499,79.670032,93.0,-105.0264
12.873036,79.667632,93.0,-101.1934
12.872864,79.666451,95.0,-98.4967
12.87272,79.665307,93.0,-97.3572
12.872502,79.66319,92.0,-96.0296
12.872272,79.659515,95.0,-93.6728
12.871944,79.657529,95.0,-99.6152
12.871327,79.655236,98.0,-105.4301
12.87094,79.653795,96.0,-105.4019
12.870145,79.651091,96.0,-106.7823
12.869855,79.6499,96.0,-104.0236
12.869583,79.648824,96.0,-104.5366
12.869471,79.647283,97.0,-94.2635
12.869798,79.645688,98.0,-78.1237
12.870017,79.644617,99.0,-78.1538
12.870483,79.642713,99.0,-75.9067
12.871098,79.640523,100.0,-73.9302
12.871513,79.638836,97.0,-75.8375
12.871893,79.637602,97.0,-72.4696
12.872238,79.63671,97.0,-68.3596
12.872506,79.635808,96.0,-73.0499
12.872727,79.633101,97.0,-85.2126
12.872885,79.632018,99.0,-81.4886
12.873265,79.630732,100.0,-73.1374
12.873732,79.629367,101.0,-70.6615
12.874162,79.628175,100.0,-69.6934
12.874451,79.627036,100.0,-75.4109
12.874527,79.625505,99.0,-87.0848
12.874365,79.623462,100.0,-94.65
12.874218,79.621213,103.0,-93.8356
12.87414,79.619935,102.0,-93.5823
12.87408,79.618351,102.0,-92.225
12.874216,79.616997,103.0,-84.1172
12.874658,79.6159,104.0,-67.5442
12.875632,79.614679,105.0,-50.7071
12.876769,79.613487,106.0,-45.6235
12.877529,79.612306,105.0,-56.5701
12.877976,79.610902,107.0,-71.9133
12.87848,79.609013,107.0,-74.6932
12.878871,79.607702,107.0,-72.9888
12.879278,79.606609,108.0,-69.0941
12.879756,79.605543,109.0,-65.2985
12.880682,79.603667,111.0,-63.1447
12.881965,79.601466,108.0,-59.1218
12.882418,79.600566,108.0,-62.6913
12.88286,79.599458,108.0,-67.7446
12.883419,79.598564,108.0,-57.3227
12.884471,79.59769,108.0,-39.0033
12.887085,79.59616,108.0,-29.7076
12.887999,79.595624,108.0,-29.7549
12.889143,79.594945,107.0,-30.0526
12.890058,79.594025,107.0,-44.4249
12.890598,79.593034,108.0,-60.7951
12.892452,79.589231,111.0,-63.4292
12.893142,79.58772,111.0,-64.8986
12.893949,79.585634,112.0,-68.3531
12.89424,79.58464,111.0,-73.2833
12.89491,79.581523,112.0,-77.5643
12.895342,79.579856,111.0,-75.1119
12.895863,79.577954,110.0,-74.3039
12.896154,79.576737,110.0,-76.2174
12.896329,79.575523,111.0,-81.5878
12.896652,79.573219,112.0,-81.8156
12.897205,79.569331,111.0,-81.6979
12.897486,79.567358,113.0,-81.6872
12.897886,79.565131,113.0,-79.5594
12.898,79.561405,115.0,-88.2018
12.898166,79.557968,115.0,-87.163
12.898413,79.553473,114.0,-86.773
12.898441,79.551617,114.0,-89.1131
12.898445,79.550412,115.0,-89.8047
12.898394,79.547862,116.0,-91.1751
12.898315,79.544686,119.0,-91.4614
12.898278,79.543231,117.0,-91.4942
12.898254,79.541386,119.0,-90.7644
12.898214,79.540148,118.0,-91.8983
12.89813,79.538611,118.0,-93.2088
12.897992,79.534593,120.0,-92.0175
12.898118,79.533018,120.0,-85.308
12.898464,79.53137,121.0,-77.8448
12.898545,79.530381,120.0,-85.1971
12.898504,79.529359,120.0,-92.3566
12.898364,79.527012,119.0,-93.5016
12.898276,79.525783,121.0,-94.2011
12.898056,79.524571,121.0,-100.5485
12.897732,79.518359,121.0,-93.0621
12.897678,79.516686,122.0,-91.8963
12.89766,79.515433,123.0,-90.8442
12.897502,79.510723,123.0,-91.9705
12.897429,79.509032,124.0,-92.5356
12.897213,79.507098,127.0,-96.536
12.896616,79.503332,125.0,-99.2365
12.896391,79.501979,125.0,-99.6813
12.896209,79.499665,125.0,-94.6128
12.896243,79.498378,124.0,-88.4474
12.896651,79.497073,126.0,-72.217
12.89815,79.493296,125.0,-67.846
12.899573,79.490103,125.0,-65.4298
12.90056,79.487889,126.0,-65.4231
12.90123,79.486733,126.0,-59.2644
12.901888,79.485598,128.0,-59.2578
12.902333,79.484241,128.0,-71.4057
12.902341,79.483278,128.0,-89.5116
12.902296,79.481108,128.0,-91.2185
12.902253,79.480161,128.0,-92.667
12.902004,79.477322,128.0,-95.1412
12.901634,79.473482,129.0,-95.6449
12.90133,79.470251,130.0,-95.513
12.900766,79.462513,133.0,-94.2754
12.900537,79.459763,136.0,-94.8826
12.900124,79.453484,138.0,-93.8596
12.900072,79.452503,140.0,-93.1125
12.900137,79.450529,138.0,-88.065
12.900267,79.447463,140.0,-87.509
12.900454,79.443719,141.0,-87.0663
12.900511,79.442358,144.0,-87.5396
12.900561,79.441248,144.0,-87.354
12.900727,79.438709,145.0,-86.1625
12.900839,79.437624,143.0,-83.9548
12.901122,79.435574,142.0,-81.9389
12.901588,79.433015,143.0,-79.4178
12.902413,79.428176,141.0,-80.0785
12.902731,79.426596,142.0,-78.3334
12.903017,79.425308,142.0,-77.1668
12.903742,79.422647,145.0,-74.3834
12.904052,79.421628,146.0,-72.6667
12.904386,79.419133,149.0,-82.1799
12.904733,79.417863,147.0,-74.3413
12.905105,79.416867,145.0,-69.0344
12.90604,79.414412,147.0,-68.6579
12.906798,79.412502,150.0,-67.8464
12.907633,79.41033,157.0,-68.4753
12.908017,79.409171,157.0,-71.2265
12.908738,79.406546,159.0,-74.2625
12.909103,79.405164,159.0,-74.8391
12.909545,79.403925,158.0,-69.8978
12.910164,79.402633,156.0,-63.8245
12.910529,79.401743,156.0,-67.181
12.91103,79.400694,155.0,-63.8957
12.911849,79.39916,154.0,-61.2882
12.91332,79.396492,156.0,-60.5049
12.914423,79.394505,159.0,-60.3377
12.915845,79.391832,159.0,-61.3743
12.916123,79.390933,158.0,-72.3978
12.916787,79.389123,154.0,-69.3748
12.916961,79.387917,154.0,-81.5798
12.916846,79.386756,154.0,-95.8026
12.917548,79.38617,153.0,-39.1329
12.918541,79.384972,153.0,-49.6219
12.919028,79.383592,154.0,-70.0964
12.919513,79.382223,158.0,-70.0249
12.919903,79.381151,158.0,-69.5315
12.920302,79.380209,159.0,-66.5116
12.920893,79.379056,162.0,-62.2604
12.921491,79.377922,164.0,-61.5849
12.921904,79.377099,168.0,-62.7578
12.922817,79.375429,164.0,-60.7112
12.923301,79.374483,165.0,-62.3039
12.923624,79.373293,166.0,-74.4383
12.923943,79.371827,169.0,-77.4147
12.924744,79.370348,171.0,-60.9407
12.924973,79.369286,172.0,-77.5249
12.925059,79.368073,170.0,-85.8394
12.925215,79.365867,174.0,-85.85
12.925302,79.364591,175.0,-85.9983
12.925394,79.363303,175.0,-85.8084
12.925471,79.362037,174.0,-86.4291
12.925519,79.360696,170.0,-87.8966
12.925452,79.359364,168.0,-92.9541
12.925367,79.357607,169.0,-92.8414
12.925436,79.356421,170.0,-86.5839
12.925547,79.354616,166.0,-86.3895
12.925453,79.352524,165.0,-92.6393
12.925663,79.351531,170.0,-77.7577
12.926143,79.350488,173.0,-64.7243
12.926615,79.349355,172.0,-66.8568
12.927096,79.348072,171.0,-68.9606
12.928133,79.345316,167.0,-68.8904
12.928578,79.34414,167.0,-68.7815
12.929055,79.342884,166.0,-68.7112
12.929615,79.341144,164.0,-71.726
12.930208,79.339206,165.0,-72.5703
12.93049,79.338301,166.0,-72.2703
12.931344,79.336791,168.0,-59.8742
12.931832,79.335854,169.0,-61.8815
12.932232,79.33501,170.0,-64.0678
12.932839,79.333235,174.0,-70.6653
12.933236,79.332016,176.0,-71.5226
12.933681,79.330928,177.0,-67.2343
12.934188,79.330132,177.0,-56.8347
12.934836,79.328909,177.0,-61.4697
12.935481,79.328934,176.0,2.1634
12.935531,79.328052,177.0,-86.671
12.935881,79.327187,180.0,-67.4536
12.936236,79.325987,179.0,-73.1149
12.936221,79.325381,179.0,-91.4548
12.936834,79.324473,180.0,-55.2899
12.937587,79.323684,182.0,-45.6012
12.938446,79.323039,182.0,-36.197
12.939533,79.322555,183.0,-23.4587
12.940466,79.322334,184.0,-12.9993
12.941785,79.322167,191.0,-7.0344
12.942751,79.32193,186.0,-13.4474
12.943592,79.321586,187.0,-21.7344
12.944494,79.321201,187.0,-22.5864
12.94531,79.32078,187.0,-26.6941
12.946294,79.320269,186.0,-26.8443
12.947188,79.319813,190.0,-26.4319
12.948057,79.319364,188.0,-26.7275
12.948853,79.318796,186.0,-34.8156
12.949448,79.318098,185.0,-48.8244
12.949939,79.317244,186.0,-59.4616
12.950389,79.316073,186.0,-68.4797
12.950754,79.314944,183.0,-71.6475
12.951147,79.31327,189.0,-76.4556
12.951537,79.311607,185.0,-76.4695
12.951753,79.310686,186.0,-76.469
12.951968,79.309772,186.0,-76.4299
12.952244,79.308574,183.0,-76.6994
12.952815,79.307408,184.0,-63.3206
12.953567,79.306337,187.0,-54.2278
12.954901,79.304917,193.0,-46.0508
12.95558,79.304194,192.0,-46.0598
12.95657,79.303141,193.0,-46.0283
12.958071,79.301535,190.0,-46.1976
12.959901,79.299376,190.0,-48.9841
12.960657,79.298484,190.0,-48.9868
12.961457,79.29754,191.0,-48.9892
12.962091,79.296792,191.0,-48.9846
12.96273,79.295803,185.0,-56.4554
12.964246,79.292807,185.0,-62.5594
12.964611,79.291848,186.0,-68.6662
12.965282,79.290845,188.0,-55.5305
12.966164,79.290142,191.0,-37.8375
12.968172,79.288805,193.0,-32.9777
12.969485,79.287846,196.0,-35.4416
12.970298,79.287115,195.0,-41.2248
12.971422,79.286104,193.0,-41.235
12.972385,79.285139,191.0,-44.3188
12.973117,79.283543,191.0,-64.7954
12.973539,79.282302,193.0,-70.7631
12.974281,79.281401,194.0,-49.7987
12.975174,79.280688,193.0,-37.8845
12.976132,79.279945,191.0,-37.0808
12.978458,79.278139,189.0,-37.1113
12.980193,79.276792,191.0,-37.1086
12.981064,79.276112,190.0,-37.2624
12.981869,79.275492,190.0,-36.8883
12.984124,79.273753,194.0,-36.9233
12.985342,79.272789,192.0,-37.6402
12.985879,79.271969,191.0,-56.0962
12.986283,79.270924,193.0,-68.3592
12.988153,79.265952,192.0,-68.8939
12.988647,79.264594,193.0,-69.5282
12.989313,79.262876,195.0,-68.3052
12.989829,79.261469,196.0,-69.3751
12.990762,79.258999,194.0,-68.8107
12.991188,79.257892,195.0,-68.4492
12.991641,79.256717,197.0,-68.4132
12.992538,79.254422,203.0,-68.1431
12.993009,79.253403,203.0,-64.622
12.993474,79.252437,200.0,-63.7098
12.995198,79.248914,200.0,-63.3331
12.995693,79.247938,200.0,-62.5028
12.996829,79.245584,204.0,-63.6519
12.996145,79.244738,203.0,-129.6846
12.994419,79.243219,200.0,-139.3858
12.993292,79.242186,204.0,-138.2311
12.992308,79.241317,203.0,-139.2872
12.991532,79.240689,201.0,-141.742
12.990268,79.239729,197.0,-143.4964
12.989366,79.239063,196.0,-144.2662
12.988224,79.238337,198.0,-148.2233
12.986432,79.237203,196.0,-148.3409
12.985578,79.236658,195.0,-148.1244
12.983339,79.235735,201.0,-158.1147
12.980664,79.234754,203.0,-160.3353
12.979252,79.234188,201.0,-158.6639
12.978275,79.233581,196.0,-148.8085
12.977234,79.232863,194.0,-146.0947
12.976123,79.23204,192.0,-144.1761
12.975208,79.231305,192.0,-141.9472
12.973984,79.22928,189.0,-121.8103
12.97292,79.228044,187.0,-131.4569
12.971219,79.226018,190.0,-130.7471
12.970833,79.224423,191.0,-103.9467
12.970685,79.222951,194.0,-95.8905
12.970762,79.221875,192.0,-85.7999
12.970476,79.219426,196.0,-96.8335
12.969653,79.218485,195.0,-131.9078
12.96909,79.216859,194.0,-109.5606
12.968849,79.215441,192.0,-99.8931
12.96857,79.212913,198.0,-96.4611
12.968379,79.211671,195.0,-98.9677
12.968336,79.210731,191.0,-92.6875
12.968327,79.209524,192.0,-90.4383
12.968387,79.20844,190.0,-86.749
12.96844,79.207471,192.0,-86.7874
